"Table 20. Illicit Drug Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2020  ","","","","","","","","","","","","","","","",""
"NOTE: Illicit Drug Use Disorder (IDUD) data in 2020 are based on criteria from the Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5). IDUD estimates are based on only 2020 data because prior years’ IDUD data were based on DSM-IV criteria.","","","","","","","","","","","","","","","",""
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one’s own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, Quarters 1 and 4, 2020.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"19","Illinois","7.58%","6.13%","9.34%","6.89%","4.79%","9.82%","14.16%","10.60%","18.67%","6.65%","5.05%","8.72%","7.65%","6.10%","9.55%"
"20","Indiana","6.53%","5.09%","8.34%","4.68%","3.12%","6.96%","16.36%","11.63%","22.52%","5.12%","3.61%","7.21%","6.73%","5.19%","8.68%"
"21","Iowa","6.53%","5.05%","8.41%","5.15%","3.46%","7.60%","18.26%","12.88%","25.24%","4.71%","3.26%","6.77%","6.67%","5.08%","8.71%"
"22","Kansas","6.89%","5.21%","9.06%","5.82%","3.90%","8.60%","15.29%","10.70%","21.39%","5.58%","3.79%","8.16%","7.00%","5.20%","9.38%"
"23","Kentucky","5.98%","4.55%","7.84%","5.45%","3.59%","8.19%","15.76%","11.05%","21.99%","4.52%","3.07%","6.63%","6.04%","4.50%","8.05%"
"24","Louisiana","6.91%","5.17%","9.18%","4.31%","2.72%","6.77%","14.74%","9.94%","21.30%","6.02%","4.11%","8.73%","7.18%","5.30%","9.65%"
"25","Maine","7.28%","5.54%","9.51%","5.80%","3.99%","8.36%","17.82%","12.37%","24.97%","6.11%","4.28%","8.64%","7.40%","5.56%","9.80%"
"26","Maryland","6.36%","4.95%","8.14%","3.04%","2.00%","4.59%","15.49%","11.02%","21.34%","5.42%","3.90%","7.50%","6.69%","5.16%","8.63%"
"27","Massachusetts","7.60%","5.79%","9.92%","4.26%","2.77%","6.51%","15.11%","10.34%","21.56%","6.71%","4.74%","9.41%","7.89%","5.95%","10.40%"
"28","Michigan","7.67%","6.31%","9.29%","5.37%","3.83%","7.49%","16.22%","12.45%","20.87%","6.58%","5.08%","8.49%","7.89%","6.43%","9.64%"
"29","Minnesota","5.85%","4.54%","7.50%","4.49%","2.93%","6.84%","15.12%","11.03%","20.39%","4.61%","3.25%","6.50%","5.99%","4.58%","7.78%"
"30","Mississippi","7.13%","5.31%","9.51%","4.01%","2.48%","6.43%","15.38%","10.12%","22.69%","6.18%","4.23%","8.97%","7.48%","5.50%","10.09%"
"31","Missouri","6.66%","5.07%","8.69%","5.27%","3.55%","7.77%","15.08%","10.51%","21.17%","5.53%","3.82%","7.92%","6.79%","5.09%","9.01%"
"32","Montana","8.11%","6.10%","10.69%","7.20%","4.76%","10.73%","15.69%","10.81%","22.22%","7.06%","4.87%","10.12%","8.19%","6.06%","10.99%"
"33","Nebraska","7.03%","5.51%","8.92%","5.72%","3.91%","8.31%","14.27%","10.12%","19.76%","5.97%","4.28%","8.26%","7.17%","5.53%","9.25%"
"34","Nevada","8.26%","6.18%","10.96%","4.39%","2.92%","6.54%","18.66%","13.12%","25.83%","7.28%","5.02%","10.44%","8.65%","6.39%","11.59%"
"35","New Hampshire","7.25%","5.61%","9.32%","5.64%","3.83%","8.22%","18.18%","12.66%","25.42%","5.83%","4.13%","8.17%","7.39%","5.65%","9.61%"
"36","New Jersey","6.11%","4.68%","7.94%","3.78%","2.49%","5.69%","16.34%","11.85%","22.11%","4.92%","3.40%","7.09%","6.33%","4.79%","8.33%"
"37","New Mexico","6.81%","5.02%","9.18%","4.96%","3.13%","7.79%","11.00%","7.19%","16.45%","6.38%","4.35%","9.27%","7.00%","5.07%","9.60%"
"38","New York","6.37%","5.21%","7.77%","6.33%","4.44%","8.95%","11.21%","8.36%","14.87%","5.65%","4.37%","7.29%","6.37%","5.14%","7.87%"
"39","North Carolina","6.39%","5.05%","8.06%","4.23%","2.81%","6.34%","15.76%","11.54%","21.15%","5.20%","3.75%","7.16%","6.60%","5.16%","8.41%"
"40","North Dakota","6.42%","4.85%","8.46%","4.75%","3.10%","7.23%","15.27%","10.37%","21.92%","4.99%","3.35%","7.35%","6.59%","4.89%","8.83%"
"41","Ohio","5.89%","4.77%","7.24%","5.15%","3.57%","7.36%","12.53%","9.13%","16.95%","4.96%","3.76%","6.51%","5.96%","4.77%","7.42%"
"42","Oklahoma","7.62%","5.88%","9.82%","5.09%","3.35%","7.67%","20.21%","14.49%","27.46%","5.86%","4.07%","8.36%","7.89%","6.01%","10.30%"
"43","Oregon","9.04%","7.01%","11.59%","7.57%","5.12%","11.05%","20.45%","14.76%","27.62%","7.57%","5.40%","10.50%","9.17%","7.02%","11.91%"
"44","Pennsylvania","6.48%","5.21%","8.03%","4.33%","3.00%","6.20%","12.56%","9.10%","17.08%","5.82%","4.40%","7.65%","6.67%","5.31%","8.36%"
"45","Rhode Island","7.82%","5.88%","10.35%","4.18%","2.72%","6.38%","16.97%","11.77%","23.83%","6.67%","4.57%","9.64%","8.13%","6.05%","10.85%"
"46","South Carolina","5.76%","4.34%","7.62%","3.90%","2.46%","6.13%","14.93%","10.21%","21.32%","4.64%","3.18%","6.74%","5.94%","4.41%","7.95%"
"47","South Dakota","6.84%","5.21%","8.94%","5.21%","3.46%","7.79%","14.23%","9.76%","20.30%","5.85%","4.07%","8.34%","7.01%","5.25%","9.32%"
"48","Tennessee","6.84%","5.31%","8.76%","5.10%","3.43%","7.52%","19.80%","14.24%","26.84%","5.09%","3.57%","7.21%","7.01%","5.37%","9.09%"
"49","Texas","5.55%","4.53%","6.78%","4.98%","3.46%","7.12%","9.85%","6.97%","13.72%","4.89%","3.75%","6.36%","5.61%","4.51%","6.96%"
"50","Utah","6.33%","4.89%","8.17%","4.36%","2.85%","6.62%","13.85%","9.44%","19.87%","5.02%","3.51%","7.15%","6.60%","5.01%","8.65%"
"51","Vermont","7.75%","5.99%","9.97%","7.23%","4.86%","10.62%","18.69%","13.41%","25.43%","6.01%","4.23%","8.48%","7.80%","5.95%","10.16%"
"52","Virginia","5.76%","4.47%","7.41%","4.00%","2.69%","5.91%","13.84%","9.77%","19.25%","4.72%","3.36%","6.61%","5.94%","4.54%","7.72%"
"53","Washington","8.26%","6.40%","10.60%","5.64%","3.73%","8.43%","19.62%","13.85%","27.03%","6.92%","4.95%","9.61%","8.51%","6.52%","11.04%"
"54","West Virginia","7.48%","5.65%","9.84%","5.98%","3.91%","9.04%","19.23%","13.83%","26.10%","6.01%","4.08%","8.77%","7.62%","5.67%","10.17%"
"55","Wisconsin","6.07%","4.57%","8.01%","4.07%","2.62%","6.27%","15.20%","10.70%","21.13%","4.88%","3.31%","7.14%","6.26%","4.66%","8.36%"
"56","Wyoming","7.29%","5.35%","9.87%","6.08%","3.86%","9.45%","15.17%","10.11%","22.14%","6.23%","4.15%","9.26%","7.42%","5.33%","10.23%"
